DIRECCION_SALUD,RED_SALUD,MICRO_RED,DESC_ESTAB,year,Incluidos,Curado,Tratamiento completo,Fracaso,Fallecido,Abandono,No evaluado,Excluido,p_abandono
ANCASH,NO TIENE ASIGNADO NINGUNA RED,ESTABLECIMIENTO QUE NO PERTENECE A NINGU,CLINICA E.P. PROCESADOS CHIMBOTE,2009,1,,,,1,,,,0.0
ANCASH,NO TIENE ASIGNADO NINGUNA RED,ESTABLECIMIENTO QUE NO PERTENECE A NINGU,HOSP. LA CALETA,2009,1,1,,,,,,,0.0
ANCASH,PACIFICO,CASMA,C.S. YAUTAN,2009,1,,1,,,,,,0.0
ANCASH,PACIFICO,CASMA,HOSP. CASMA,2009,2,2,,,,,,,0.0
ANCASH,PACIFICO,HUARMEY,HOSP. HUARMEY,2009,1,1,,,,,,,0.0
ANCASH,PACIFICO,MIRAFLORES ALTO,P.S. FLORIDA,2009,1,1,,,,,,,0.0
ANCASH,PACIFICO,MIRAFLORES ALTO,P.S. MIRAFLORES ALTO,2009,1,,,,,1,,,100.0
ANCASH,PACIFICO,PROGRESO,C.S. PROGRESO,2009,1,1,,,,,,,0.0
ANCASH,PACIFICO,PROGRESO,P.S. MAGDALENA NUEVA,2009,1,1,,,,,,,0.0
ANCASH,PACIFICO,SANTA,P.S. RINCONADA,2009,2,1,1,,,,,,0.0
ANCASH,PACIFICO,YUGOSLAVIA,P.S. NICOLAS GARATEA,2009,2,,,,,2,,,100.0
AREQUIPA,AREQUIPA  CAYLLOMA,ALTO SELVA ALEGRE,P.S. HEROES DEL CENEPA,2009,1,,1,,,,,,0.0
AREQUIPA,AREQUIPA  CAYLLOMA,ALTO SELVA ALEGRE,P.S. INDEPENDENCIA,2009,1,,1,,,,,,0.0
AREQUIPA,AREQUIPA  CAYLLOMA,ALTO SELVA ALEGRE,P.S. LEONES DEL MISTI,2009,1,,1,,,,,,0.0
AREQUIPA,AREQUIPA  CAYLLOMA,BUENOS AIRES DE CAYMA,P.S. RAFAEL BELAUNDE,2009,1,1,,,,,,,0.0
AREQUIPA,AREQUIPA  CAYLLOMA,EDIFICADORES MISTI,C.S. EDIFICADORES MISTI,2009,3,2,1,,,,,,0.0
AREQUIPA,AREQUIPA  CAYLLOMA,LA JOYA,C.S. LA JOYA,2009,2,2,,,,,,,0.0
AREQUIPA,AREQUIPA  CAYLLOMA,MARIANO MELGAR,C.S. MARIANO MELGAR,2009,1,,,,,1,,,100.0
AREQUIPA,AREQUIPA  CAYLLOMA,MARITZA CAMPOS DIAZ,C.S. MARITZA CAMPOS DIAZ,2009,1,1,,,,,,,0.0
AREQUIPA,AREQUIPA  CAYLLOMA,MARITZA CAMPOS DIAZ,P.S. CIUDAD MUNICIPAL,2009,1,,1,,,,,,0.0
AREQUIPA,AREQUIPA  CAYLLOMA,SAN MARTIN DE SOCABAYA,C.S. SAN MARTIN DE SOCABAYA,2009,1,,,,,,1,,0.0
AREQUIPA,AREQUIPA  CAYLLOMA,SAN MARTIN DE SOCABAYA,P.S. CIUDAD MI TRABAJO,2009,1,1,,,,,,,0.0
AREQUIPA,AREQUIPA  CAYLLOMA,TIABAYA,C.S. TIABAYA,2009,2,1,1,,,,,,0.0
AREQUIPA,AREQUIPA  CAYLLOMA,TIABAYA,P.S. CERRO VERDE,2009,1,,,,,,1,,0.0
AREQUIPA,CAMANA CARAVELLI,IQUIPI,C.S. IQUIPI,2009,1,1,,,,,,,0.0
AREQUIPA,CASTILLA CONDESUYOS - LA UNION,CORIRE,P.S. EL PEDREGAL,2009,1,1,,,,,,,0.0
CALLAO,BEPECA,AEROPUERTO,C.S. AEROPUERTO,2009,6,1,,1,1,3,,,50.0
CALLAO,BEPECA,AEROPUERTO,C.S. PLAYA RIMAC,2009,4,3,,1,,,,,0.0
CALLAO,BEPECA,AEROPUERTO,C.S. POLIGONO IV,2009,5,2,,,,3,,,60.0
CALLAO,BEPECA,BELLAVISTA,C.S. ALTA MAR,2009,4,4,,,,,,,0.0
CALLAO,BEPECA,BELLAVISTA,C.S. BASE BELLAVISTA (PERU-COREA),2009,9,4,,1,2,1,1,,11.1
CALLAO,BEPECA,BELLAVISTA,C.S. CARMEN DE LA LEGUA,2009,1,,,1,,,,,0.0
CALLAO,BEPECA,BELLAVISTA,C.S. LA PERLA,2009,3,,,,2,,1,,0.0
CALLAO,BEPECA,FAUCETT,C.S. FAUCETT,2009,1,,,,,1,,,100.0
CALLAO,BEPECA,FAUCETT,C.S. PALMERAS DE OQUENDO,2009,1,,,,,,1,,0.0
CALLAO,BEPECA,SESQUI-CENTENARIO,C.S. BOCANEGRA,2009,6,3,1,,1,,1,,0.0
CALLAO,BEPECA,SESQUI-CENTENARIO,C.S. EL ALAMO,2009,3,2,,,,1,,,33.3
CALLAO,BEPECA,SESQUI-CENTENARIO,C.S. PREVI,2009,3,2,,,,,1,,0.0
CALLAO,BEPECA,SESQUI-CENTENARIO,C.S. SESQUICENTENARIO,2009,4,,1,1,1,1,,,25.0
CALLAO,BONILLA,ACAPULCO,C.S. ACAPULCO,2009,5,1,2,,1,1,,,20.0
CALLAO,BONILLA,ACAPULCO,C.S. JUAN PABLO II,2009,1,1,,,,,,,0.0
CALLAO,BONILLA,BONILLA,C.S. ALBERTO BARTON,2009,5,1,,1,,,3,,0.0
CALLAO,BONILLA,BONILLA,C.S. BASE MANUEL BONILLA,2009,4,1,1,,,2,,,50.0
