region,year,Nuevos_TBPFP,Incluidos,Curados,Abandonos,Fracaso,Fallecidos,TSC,Excluidos,p_abandonos
Amazonas,2011,64,48,45,1,1,1,0,0,2.1
Ancash,2011,513,477,462,2,2,10,1,20,0.4
Apurimac I,2011,53,53,51,0,0,1,1,0,0
Apurimac II,2011,20,23,23,0,0,0,0,0,0
Arequipa,2011,476,433,404,11,4,7,7,38,2.5
Ayacucho,2011,209,203,183,2,0,18,0,2,1
Cajamarca I,2011,51,27,26,0,0,1,0,1,0
Callao,2011,1150,1016,852,87,32,27,18,132,8.6
Chota Cajamarca II ,2011,10,11,11,0,0,0,0,0,0
Cusco,2011,509,391,348,9,4,30,0,34,2.3
Cutervo Cajamarca III ,2011,11,,,,,,,,
Huancavelica,2011,71,69,63,1,0,4,1,2,1.4
Huanuco,2011,298,271,245,5,4,17,0,25,1.8
Ica,2011,548,478,444,20,3,9,2,44,4.2
Jaen (Cajamarca),2011,82,92,80,7,0,5,0,0,7.6
Junin,2011,480,453,418,13,3,16,3,33,2.9
La Libertad,2011,854,792,714,33,11,23,11,54,4.2
Lambayeque,2011,504,421,366,32,4,16,3,38,7.6
Lima Ciudad,2011,3309,2440,2069,201,52,61,57,815,8.2
Lima Este,2011,3303,2713,2348,219,31,67,48,341,8.1
Region Lima,2011,637,446,395,30,2,17,2,68,6.7
Lima Sur,2011,1639,1320,1134,128,8,22,28,313,9.7
Loreto,2011,807,941,760,97,12,40,32,43,10.3
Madre de Dios,2011,202,175,147,17,3,6,2,19,9.7
Moquegua,2011,124,112,103,6,1,2,0,11,5.4
Pasco,2011,68,68,63,1,0,4,0,0,1.5
Piura I,2011,217,161,146,3,3,8,1,15,1.9
Puno,2011,275,263,231,6,0,23,3,11,2.3
San Martin,2011,252,212,194,8,1,7,2,6,3.8
Sullana Piura II,2011,88,123,110,5,3,2,3,5,4.1
Tacna,2011,308,286,265,17,0,4,0,32,5.9
Tumbes,2011,100,101,76,5,0,18,2,1,5
Ucayali,2011,573,505,443,33,10,17,2,12,6.5
Peru,2011,17805,15124,13219,999,194,483,229,2115,6.6
Amazonas,2012,87,93,75,6,2,10,0,3,6.5
Ancash,2012,431,445,409,12,4,16,4,36,2.7
Apurimac I,2012,56,56,54,0,0,2,0,1,0
Apurimac II,2012,25,28,25,0,0,3,0,0,0
Arequipa,2012,467,417,387,17,3,10,0,43,4.1
Ayacucho,2012,191,137,129,1,0,7,0,46,0.7
