No,Years,tot_new_cases,tot_tbp_bkpos,pr_tb_bkp,morb_tot,morb_tb,ir_all_new_tb,efiencia_tx,eficaci_tx,death,r_mort_tb,letalidad,fracaso_esq_prim,recurrencia,cob_tx,c_mening_tb,ir_mening_tb,death_mening_tb,r_mort_mening_tb,letal_mening_tb,bcg,atenciones,sri,ser,indicador_trazador,srebkpos,prop_srebkpos,abandonos,mdr_ps_pos,xdr,tb_extrap,tb_extp,Exito de tratamiento,Tasa_deteccion,Cobertura_DOTS,ir_new_tb_bkp,casos_aprob,casos_ps,casos_ini_tx
1,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
2,1941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
3,1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
4,1943,,,,,,65.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.7,,,
5,1944,,,,,,61.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.7,,,
6,1945,,,,,,65.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.7,,,
7,1946,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.4,,,
8,1947,,,,,,70.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.3,,,
9,1948,,,,,,75.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.1,,,
10,1949,,,,,,68.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,
11,1950,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.5,,,
12,1951,,,,,,54.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,
13,1952,,,,,,44.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.4,,,
14,1953,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,
15,1954,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.6,,,
16,1955,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8,,,
17,1956,,,,,,28.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,
18,1957,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.1,,,
19,1958,,,,,,27.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.6,,,
20,1959,,,,,,41.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.1,,,
21,1960,,,,23915,238.6,30.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.8,,,
22,1961,,,,23174,224.5,30.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.1,,,
23,1962,,,,24768,226.3,29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.8,,,
24,1963,,,,24768,226.3,30.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.7,,,
25,1964,,,,24041,213.3,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.2,,,
26,1965,,,,26502,228.3,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.6,,,
27,1966,,,,24793,207.4,40.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.9,,,
28,1967,,,,21807,177.2,37.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.5,,,
29,1968,,,,21486,169.5,38.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.2,,,
30,1969,,,,20220,154.9,38.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,
31,1970,,,,23843,177.3,37.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.7,,,
32,1971,,,,23467,169.7,32.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9,,,
33,1972,,,,23173,162.9,30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.2,,,
34,1973,,,,18972,130.1,31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.1,,,
35,1974,,,,16549,110.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.8,,,
36,1975,,,,16688,108.8,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.3,,,
37,1976,,,,22257,141.6,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1,,,
38,1977,,,,17660,109.6,22.5,,,,,,,,,,,39,1.4,,,,,,,,,,,,,,,,,18,,,
39,1978,,,,15506,93.9,24.5,,,,,,,,,,,54,2,,67,,,,,,,,,,,,,,,21.5,,,
40,1979,,,,15616,92.3,24.2,,,,,,,,,,,56,2,,57,,,,,,,,,,,,,,,20.3,,,
41,1980,,,,16011,92.4,26.9,50,,,,,6,2,43.7,,,62,2.1,,57,,,,,,,,,,,,,,,22.6,,,
42,1981,,,,21925,123.5,23,,,,,,,,22.8,,,52,1.8,,63,,,,,,,,,,,,,,,19,,,
43,1982,,,,20418,112.3,20.8,,,,,,,,27.8,,,50,1.7,,65,,,,,,,,,,,,,,,17.6,,,
44,1983,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,0,,,
45,1984,,,,,,,,,,,,,,35,,,,,,63,,,,,,,,,,,,,,,0,,,
46,1985,,,,,,,,,,,,,,53,,,,,,63,,,,,,,,,,,,,,,0,,,
47,1986,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,0,,,
48,1987,,20177,,30551,157.7,143.5,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,104.1,,,
49,1988,,22677,,38723,195.5,179.3,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,114.1,,,
50,1989,35687,24526,68.73,38597,190.7,176.3,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,121.2,,,
51,1990,37905,24023,63.38,41085,198.6,183.3,,,,,,,10.4,,,,,,,78,,,,,,,,,,,,,,,116.1,,,
52,1991,40580,23074,56.86,42763,202.3,192,76.8,95.51,2924,13.6,6.84,3.6,16,,,,,,,83,,,,,,,12.1,,,,,,,,109.2,,,
53,1992,52552,32132,61.14,55336,256.1,243.2,82.5,96.93,1158,5.21,2.09,2.6,13,,,3.39,5,0.16,5,85.2,,,,,,,9.2,,,,,,,,148.7,,,
54,1993,51675,35646,68.98,55018,248.6,233.5,86.2,97.57,1184,5.4,2.15,2.1,14,,,2.01,10,0.3,14,88.5,,,,,,,7.7,,,,,,,,161.1,,,
55,1994,48601,33925,69.8,51372,227.9,215.7,86.2,97.65,992,4.4,1.93,2.1,9,,,1.8,8,0.23,14,92.1,,,,,,,6.9,,,5519,11.36,81,92,100,150.5,,,
56,1995,45310,32096,70.84,48074,208.75,196.75,87.7,98,1128,4.9,2.35,2,,,,1.7,7,0.37,17.4,96.2,,,,,,,5.9,,,,,83,101,100,139.37,,,
57,1996,38673,26800,69.3,47438,198.1,161.5,91,98.84,1164,4.9,2.45,1,,,57,1.75,,0.37,22.8,96.9,,,,,,,4,,,5394,13.95,89,88,100,111.91,,,
58,1997,38568,27498,71.3,47062,193.11,158.3,,,1146,4.7,2.44,,,,,1.5,,0.13,,98.5,,804638,,,,,3.7,44,,5487,14.23,90,94,100,112.83,66,48,62
